Address,Company
Av. Dámaso A. Larrañaga 3640,ABITAB
Rivera 4219,ABITAB
Nancy 4281 bis Local 001 Supermercado Disco,ABITAB
Avda. Libert. Brig. Gral. Lavalleja 1644,ABITAB
Ejido 1315,ABITAB
Bvar. J. Batlle y Ordoñez 5967 bis,ABITAB
Avda. Burgues 2757,ABITAB
Avda. Garibaldi 2539,ABITAB
Av. Gral. Flores 4699,ABITAB
Brd. Artigas 3528,ABITAB
Rafael Eguren 3498,ABITAB
San Martín 3083,ABITAB
Av. San Martín 3222 Macromercado Mayorista,ABITAB
Dr. Salvador Ferrer Serra 2320,ABITAB
Shopping Tres Cruces Local,ABITAB
Br. Artigas 1825 Shopping Tres Cruces NIvel Terminal Local B20,ABITAB
Hocquard 2139,ABITAB
Avda. 18 de Julio 2013,ABITAB
Mercedes 1151,ABITAB
Joaquín Requena 2350,ABITAB
Veracierto 2851,ABITAB
Rio Negro 1341,ABITAB
Daniel Munoz 2200,ABITAB
Yaguarón 1450,ABITAB
Avda. Brasil 3086,ABITAB
Av. Luis A. de Herrera 3365 Local 145 Nuevo Centro Shopping,ABITAB
8 DE OCTUBRE 4764,ABITAB
Avda. 8 de Octubre 4639,ABITAB
Av. D. Larrañaga 3301 Superm Multiahorro,ABITAB
Av. de las instrucciones 1456,ABITAB
Avda. Gral. Flores 2422,ABITAB
Cnel. Mora 571,ABITAB
Justicia 2015 Bis,ABITAB
Ejido 1520,ABITAB
Grecia 4249,ABITAB
Avda. Dr. Carlos Maria Ramirez 1698,ABITAB
Avda. Luis Batlle Berres 6602,ABITAB
Santa Lucía 5374,ABITAB
Gral. Rivera 2684 bis,ABITAB
Av. Rivera 3060,ABITAB
Br. Artigas 1649,ABITAB
Avda. Gral. Paz 1449,ABITAB
Colombes 1433,ABITAB
Ruta 8 Gral. Brigadier Antonio Lavalleja 7724,ABITAB
Almirante Harwood,ABITAB
Etiopía 190,ABITAB
Uruguay 1032 bis,ABITAB
Grecia 3816,ABITAB
China 2248,ABITAB
Av. Belloni 4402,ABITAB
Avda. Gral. Rivera 2204,ABITAB
Avda. 8 de Octubre 2953,ABITAB
Avda. Millan 3782,ABITAB
Avda. Lezica 6339,ABITAB
Cno. Cibils 5967,ABITAB
Bvar. Aparicio Saravia 4620,ABITAB
Plaza Vidiella 5632 Bis,ABITAB
Cno. Ariel 4941,ABITAB
Avda. Luis Alberto de Herrera 1203,ABITAB
Luis A. de Herrera 1290 Local 006 Sector Servicios,ABITAB
Luis A. de Herrera 1290 Local 506 (Montevideo Shopping),ABITAB
Br. José Battle y Ordoñez 5550,ABITAB
18 de Julio 1552,ABITAB
Avda. Gral. Flores 5481,ABITAB
Cristobal Echevarriarza 3249,ABITAB
Ruben Darío 3450,ABITAB
Camino Ariel 4626 Local 2,ABITAB
Camino Luis Eduardo Pérez 6651. unidad Agroallimentaria local15,ABITAB
Camino Pajas Blancas N° 8001 Local 2,ABITAB
Av. Bolivia 2140,ABITAB
Cno. Carrasco 4337,ABITAB
21 de Setiembre 2980,ABITAB
Cno. Carrasco 4670 BIS,ABITAB
Belloni 3342 Local 3,ABITAB
Millán 5808,ABITAB
Fernandez Crespo 2149,ABITAB
José L. Terra 2220 Local G90 del Mercado Agrícola,ABITAB
Avda Italia 4250 Local 11,ABITAB
Carlos M. Ramirez 1715,ANDA
8 DE OCTUBRE 3823,ANDA
Av. Agraciada 4134,ANDA
ARENAL GRANDE 1570,ANDA
GARZON 1923,ANDA
Br. Artigas 1825 (Shopping Tres Tres cruces Cruces ¿ Locales Nº 207) 409.10.65 - José Belloni 4179 bis y 4181,ANDA
18 de Julio 1250,ANDA
Cno. Carrasco 4598,ANDA
Shopping Nuevo Centro Luis A. de Herrera 3365,ANDA
Sarandí 556,REDPAGOS
18 de Julio 1581,REDPAGOS
J. Benito Blanco 898,REDPAGOS
Misiones N° 1418,REDPAGOS
Arocena 1649 local 3,REDPAGOS
Agraciada 4176,REDPAGOS
Rincón 483,REDPAGOS
18 de Julio 1046,REDPAGOS
Luis A. de Herrera 1248,REDPAGOS
"18 de julio 853 esq, Andes",REDPAGOS
"18 de Julio 959 Local 001 esq, Río Branco",REDPAGOS
Galicia 1200,REDPAGOS
18 de Julio 1118,REDPAGOS
Jose Ellauri 453,REDPAGOS
Francisco Soca 1420,REDPAGOS
21 de Setiembre 2737 loc.2,REDPAGOS
Gral. Flores 2595,REDPAGOS
18 de Julio 949,REDPAGOS
18 de Julio 1126,REDPAGOS
Garzón 1927 Bis,REDPAGOS
Millán 3794 bis,REDPAGOS
18 de Julio 2063,REDPAGOS
Punta Carretas Shopping Local 123,REDPAGOS
Misiones 1428,REDPAGOS
Marti 3407,REDPAGOS
Arocena 1565,REDPAGOS
21 de Setiembre 2859,REDPAGOS
Shopping Tres Cruces,REDPAGOS
Rincón 477,REDPAGOS
"Shopping Portones esq, Bolivia",REDPAGOS
Manuel Herrera y Obes 4289,REDPAGOS
18 de Julio 1302,REDPAGOS
Br. Artigas 2151,REDPAGOS
18 de Julio 1701,REDPAGOS
José Belloni 4208,REDPAGOS
8 de Octubre 3742,REDPAGOS
21 de Setiembre 3001,REDPAGOS
José Belloni 5493,REDPAGOS
18 de Julio N° 843,REDPAGOS
Misiones 1544/46,REDPAGOS
Luis A. de Herrera 1290/148 (Mvdeo. Shopping),REDPAGOS
8 de Octubre 3839,REDPAGOS
21 de Setiembre 2850,REDPAGOS
Avenida Italia 3794,REDPAGOS
San Martín 3699 A,REDPAGOS
Millán 4499,REDPAGOS
Gral. Paz 1445,REDPAGOS
18 de Julio 1923,REDPAGOS
Av. Lezica 6406,REDPAGOS
Pascual Costa 3879 Local 13 (Complejo Parque Posadas),REDPAGOS
Constituyente 1477,REDPAGOS
Gral. Flores 4051,REDPAGOS
Cno. Guerra 6770,REDPAGOS
Bogotá 4283,REDPAGOS
Del Fuerte 5302,REDPAGOS
8 de Octubre 3602,REDPAGOS
Cno. Carrasco 4656,REDPAGOS
Echevarriarza 3267,REDPAGOS
Sarandí 670,REDPAGOS
Martín Berinduague 870,REDPAGOS
Acevedo Diaz 1663,REDPAGOS
Carlos M. Ramirez 1490,REDPAGOS
Orinoco 5009,REDPAGOS
Fco. Simón 2150,REDPAGOS
Av. Brasil 2401,REDPAGOS
8 de Octubre 3671,REDPAGOS
Yegros 2062,REDPAGOS
Cno. Durán 5986,REDPAGOS
Avda. Luis Batlle Berres 6645,REDPAGOS
Av. Garzón 1599,REDPAGOS
Angel Salvo 149,REDPAGOS
Rivera 2098 y 2100,REDPAGOS
Pedro de Mendoza 5398,REDPAGOS
Carlos María Morales 902,REDPAGOS
Santa Ana 4108,REDPAGOS
Cno. Maldonado 5757,REDPAGOS
José Vasconcellos 3294,REDPAGOS
PATRIA 553 ESA GARCIA DE ZUÑIGA,REDPAGOS
San Martín 2366,REDPAGOS
Br. Artigas 1149,REDPAGOS
José E. Rodó 1801,REDPAGOS
San Martín 2952,REDPAGOS
Garibaldi 2550,REDPAGOS
Alberto Zum Felde 2057 bis,REDPAGOS
8 de Octubre 3412,REDPAGOS
Dr. Enrique Pouey 2528,REDPAGOS
Av. Brasil 2954,REDPAGOS
Justicia 2400,REDPAGOS
Mesa y Castro 7995,REDPAGOS
Ariel 4919,REDPAGOS
AGRACIADA 2986,REDPAGOS
Av. Enrique Legrand 5084,REDPAGOS
Av. 8 de Octubre 2681,REDPAGOS
Gabriel Pereira 3025,REDPAGOS
José Belloni 6389,REDPAGOS
Cno. Cibils 4484,REDPAGOS
8 de Octubre 3310,REDPAGOS
Misiones 1484 916-37-38/916-71-00,REDPAGOS
26 de Marzo N° 3508,REDPAGOS
Gral. Flores 5499,REDPAGOS
Miguelete 2224,REDPAGOS
Br. Artigas s/n,REDPAGOS
José Belloni 4355 bis,REDPAGOS
Av. Italia 3428,REDPAGOS
8 de Octubre 3117,REDPAGOS
Arenal Grande N° 1360 Bis,REDPAGOS
"Agraciada N° 4273, barrio Paso Molino",REDPAGOS
Avda.Libertador 1879 bis,REDPAGOS
Arocena 1625,REDPAGOS
Salvador Ferrer Serra 2350,REDPAGOS
Misiones 1476,REDPAGOS
26 de Marzo 1366,REDPAGOS
Av. Brasil 2557,REDPAGOS
"Br. Artigas 1777 Ruta 8 Km. 17.500, Edificio Biotec, Plaza 1 L. 007 Zonamérica Libertad 2675",REDPAGOS
Av. del Libertador 1572,REDPAGOS
Av. Ideario Artiguista 2016,REDPAGOS
25 de Mayo 452,REDPAGOS
Br. Artigas 1825 Local 123,REDPAGOS
Av. Rivera 4260,REDPAGOS
20 de Setiembre 1521 Local,REDPAGOS
Almería 4704,REDPAGOS
Ruta 8 Brigadier Juan A. Lavalleja 8760,REDPAGOS
Av. José Pedro Varela 3385,REDPAGOS
Misiones 1375 Local 001,REDPAGOS
Joaquín Suarez 3458,REDPAGOS
Gral. Flores 2935,REDPAGOS
María Orticochea 5621/41,REDPAGOS
Palmar 2311,REDPAGOS
Perez Castellanos 1564,REDPAGOS
Scosería 2628,REDPAGOS
Av. Cesar Mayo Gutierrez,REDPAGOS
Rafael 3782,REDPAGOS
Coronel Mora 596,REDPAGOS
Paysandú 1338 Minas 1118,REDPAGOS
Gaboto 1481,REDPAGOS
Avda. 8 de Octubre N° 4822,REDPAGOS
Av. Gral. Flores 4735 bis,REDPAGOS
Avda. Dámaso A. Larrañaga,REDPAGOS
Molinos de Raffo 976,REDPAGOS
"Canelones N°1354, barrio centro",REDPAGOS
Av. Millan 2764,REDPAGOS
"Calle 25 de Mayo N°453, barrio Ciudad Vieja",REDPAGOS
"Carlos Maria Ramirez N° 1094, barrio La Teja",REDPAGOS
Ricardo Mackinnon 5065,REDPAGOS
Guipúzcoa 311 local 201,REDPAGOS
Av. Italia N° 5820,REDPAGOS
"Av. José Batlle y Ordoñez N° 3770, Montevideo",REDPAGOS
"Avda. Don Pedro de Mendoza N° 6049, Manga, Toledo Chico",REDPAGOS
"Avda. Dr. Luis A. de Herrera N° 1290, Buceo",REDPAGOS
Av. José Belloni N° 4575,REDPAGOS
Carlos de la Vega N° 5201,REDPAGOS
Cooper 2117,REDPAGOS
Av. Dr. Luis Alberto de Herrera N° 4125,REDPAGOS
Millan N° 4146 Bis,REDPAGOS
Luis A. de Herrera 4462 (Tienda Inglesa),REDPAGOS
Veracierto N° 3125,REDPAGOS
Avda. Gral. San Martín 3382,REDPAGOS
Gral. E. Garzón 1028,REDPAGOS
Av. Gral Eugenio Garzón 223,REDPAGOS
Cno. Eduardo Perez 6651,REDPAGOS
Aparicio Saravia 4659 A,REDPAGOS
Av. Italia 4250,REDPAGOS
Juncal 1301,REDPAGOS
Av. de Las Instruuciones 1386,REDPAGOS
Gracia 3561,REDPAGOS
Av. Bpñovoa 1408,REDPAGOS
Rivera 3240,REDPAGOS
CAMINO EDISON 5168,REDPAGOS
JUAN JOSE DE AMEZAGA 2051 JOSE LUIS TERRA 2220,REDPAGOS
Domingo Arena 4470,REDPAGOS
CARLOS MARIA RAMIREZ 579,REDPAGOS
Cmno. Carrasco 6955 CAMINO ARIEL 4620,REDPAGOS
"ITALIA AVDA 2905, PARQUE BATLLE",REDPAGOS
Av. Gral. Garibaldi 2484 Charcas 2674,REDPAGOS
